id,workload,iteration,metric,value,units
1,gmail,6,AttachFiles_2_jpg_finish,1465569048118,ms
1,gmail,6,AttachFiles_2_jpg_duration,5653,ms
1,gmail,6,AttachFiles_3_jpg_start,1465569048175,ms
1,gmail,6,AttachFiles_3_jpg_finish,1465569053895,ms
1,gmail,6,AttachFiles_3_jpg_duration,5720,ms
1,gmail,6,AttachFiles_4_jpg_start,1465569053954,ms
1,gmail,6,AttachFiles_4_jpg_finish,1465569059640,ms
1,gmail,6,AttachFiles_4_jpg_duration,5686,ms
1,gmail,6,AttachFiles_5_jpg_start,1465569059694,ms
1,gmail,6,AttachFiles_5_jpg_finish,1465569065478,ms
1,gmail,6,AttachFiles_5_jpg_duration,5784,ms
1,gmail,6,Create_Send_start,1465569065489,ms
1,gmail,6,Create_Send_finish,1465569065827,ms
1,gmail,6,Create_Send_duration,338,ms
1,gmail,6,execution_time,51.3140780926,seconds
1,gmail,7,Create_newMail_start,1465569162768,ms
1,gmail,7,Create_newMail_finish,1465569163429,ms
1,gmail,7,Create_newMail_duration,661,ms
1,gmail,7,Create_To_start,1465569164149,ms
1,gmail,7,Create_To_finish,1465569168336,ms
1,gmail,7,Create_To_duration,4187,ms
1,gmail,7,Create_Subject_start,1465569168348,ms
1,gmail,7,Create_Subject_finish,1465569172640,ms
1,gmail,7,Create_Subject_duration,4292,ms
1,gmail,7,Create_Compose_start,1465569173350,ms
1,gmail,7,Create_Compose_finish,1465569176791,ms
1,gmail,7,Create_Compose_duration,3441,ms
1,gmail,7,AttachFiles_1_jpg_start,1465569177496,ms
1,gmail,7,AttachFiles_1_jpg_finish,1465569183834,ms
1,gmail,7,AttachFiles_1_jpg_duration,6338,ms
1,gmail,7,AttachFiles_2_jpg_start,1465569183887,ms
1,gmail,7,AttachFiles_2_jpg_finish,1465569189557,ms
1,gmail,7,AttachFiles_2_jpg_duration,5670,ms
1,gmail,7,AttachFiles_3_jpg_start,1465569189614,ms
1,gmail,7,AttachFiles_3_jpg_finish,1465569195339,ms
1,gmail,7,AttachFiles_3_jpg_duration,5725,ms
1,gmail,7,AttachFiles_4_jpg_start,1465569195399,ms
1,gmail,7,AttachFiles_4_jpg_finish,1465569201030,ms
1,gmail,7,AttachFiles_4_jpg_duration,5631,ms
1,gmail,7,AttachFiles_5_jpg_start,1465569201084,ms
1,gmail,7,AttachFiles_5_jpg_finish,1465569206767,ms
1,gmail,7,AttachFiles_5_jpg_duration,5683,ms
1,gmail,7,Create_Send_start,1465569206776,ms
